student_id,course_id,rank,preference_score
1,1139,1,1.0
1,1136,2,0.84
1,1141,3,0.71
2,1217,1,1.0
2,1196,2,0.82
2,1213,3,0.73
2,1192,4,0.51
3,1083,1,1.0
3,1085,2,0.84
3,1109,3,0.75
3,1086,4,0.59
3,1091,5,0.43
4,1013,1,0.99
4,1033,2,0.83
4,1061,3,0.68
4,1066,4,0.58
4,1057,5,0.36
5,1248,1,1.0
5,1251,2,0.85
5,1243,3,0.68
5,1252,4,0.57
5,1245,5,0.41
6,1062,1,0.97
6,1035,2,0.86
6,1046,3,0.68
6,1072,4,0.53
7,1253,1,1.0
7,1247,2,0.87
7,1246,3,0.75
7,1248,4,0.55
8,1225,1,1.0
8,1227,2,0.88
8,1230,3,0.71
8,1236,4,0.56
8,1231,5,0.44
9,1093,1,1.0
9,1094,2,0.89
9,1104,3,0.7
9,1090,4,0.59
9,1092,5,0.39
9,1100,6,0.2
10,1215,1,0.95
10,1197,2,0.81
10,1209,3,0.72
11,1216,1,0.98
11,1207,2,0.88
11,1220,3,0.75
11,1213,4,0.57
12,1189,1,1.0
12,1154,2,0.87
12,1165,3,0.68
12,1160,4,0.58
13,1247,1,0.99
13,1252,2,0.85
13,1249,3,0.71
14,1158,1,1.0
14,1167,2,0.86
14,1182,3,0.67
14,1174,4,0.58
15,1235,1,1.0
15,1238,2,0.8
15,1239,3,0.69
15,1225,4,0.54
15,1229,5,0.43
16,1216,1,1.0
16,1223,2,0.81
16,1200,3,0.72
16,1205,4,0.52
16,1210,5,0.44
17,1233,1,1.0
17,1240,2,0.89
17,1234,3,0.72
17,1225,4,0.56
17,1237,5,0.43
17,1238,6,0.25
18,1265,1,1.0
18,1263,2,0.9
18,1273,3,0.68
18,1268,4,0.52
19,1111,1,0.97
19,1083,2,0.82
19,1090,3,0.7
20,1227,1,0.95
20,1239,2,0.83
20,1237,3,0.68
20,1225,4,0.52
20,1233,5,0.43
20,1236,6,0.2
21,1086,1,1.0
21,1115,2,0.82
21,1111,3,0.67
21,1079,4,0.53
21,1092,5,0.36
21,1081,6,0.29
22,1063,1,1.0
22,1050,2,0.86
22,1052,3,0.69
22,1074,4,0.58
22,1044,5,0.38
23,1240,1,1.0
23,1235,2,0.85
23,1231,3,0.73
23,1241,4,0.52
24,1141,1,0.96
24,1134,2,0.82
24,1129,3,0.67
24,1132,4,0.53
24,1143,5,0.39
24,1118,6,0.22
25,1004,1,1.0
25,1007,2,0.88
25,1005,3,0.75
25,1002,4,0.5
25,1008,5,0.42
25,1003,6,0.24
26,1193,1,1.0
26,1196,2,0.87
26,1201,3,0.68
26,1213,4,0.59
27,1200,1,0.99
27,1218,2,0.85
27,1208,3,0.68
28,1224,1,1.0
28,1192,2,0.85
28,1200,3,0.7
28,1223,4,0.53
28,1203,5,0.42
29,1039,1,1.0
29,1047,2,0.89
29,1059,3,0.67
29,1060,4,0.6
29,1031,5,0.4
30,1002,1,1.0
30,1004,2,0.82
30,1001,3,0.71
