student_id,course_id,satisfaction,contribution,general_sentiment
74,1003,3.1,3.5,2.5
92,1257,3.7,4.6,3.0
241,1035,4.7,4.9,3.5
1165,1225,5.0,3.6,3.2
158,1131,3.6,4.4,4.1
488,1125,3.8,3.3,5.0
1136,1156,3.0,3.4,4.7
1134,1199,4.4,3.6,2.7
1045,1102,4.6,4.4,3.2
1168,1243,4.5,3.6,2.6
550,1147,3.9,2.7,4.9
587,1043,4.6,2.8,4.3
357,1008,2.8,3.4,3.6
336,1001,3.9,4.8,4.9
301,1006,4.9,3.0,4.6
1395,1115,4.7,3.8,2.9
88,1038,4.2,4.4,3.0
1246,1259,4.4,3.8,4.4
854,1136,3.9,3.8,2.6
825,1263,3.8,3.8,4.2
593,1229,5.0,2.9,2.9
1428,1266,4.2,4.1,4.6
183,1034,3.1,4.8,4.3
1414,1007,3.9,4.9,3.6
1068,1207,3.0,2.6,4.9
639,1047,3.5,3.5,3.8
1444,1001,3.6,3.7,3.3
901,1259,4.3,3.2,2.7
1193,1000,4.3,4.2,3.0
8,1230,4.3,4.0,2.7
594,1163,4.4,2.9,3.7
420,1135,2.9,4.9,4.9
788,1001,4.9,3.5,2.9
863,1089,3.5,4.0,3.1
945,1230,3.4,3.1,4.9
104,1088,2.9,3.5,4.3
880,1078,4.0,4.2,3.0
880,1098,2.9,3.2,3.3
525,1246,4.1,3.8,3.8
215,1270,4.4,4.0,3.1
1406,1172,3.6,4.6,3.9
1468,1014,4.0,2.9,4.7
727,1251,4.4,4.3,4.7
370,1118,4.9,2.6,4.6
97,1230,3.1,4.1,3.6
827,1251,2.9,4.3,4.7
386,1003,3.7,3.2,3.8
836,1002,2.7,4.3,4.9
1273,1141,4.7,3.1,4.6
353,1006,3.7,4.3,3.6
1196,1253,2.6,2.8,4.4
975,1101,4.6,4.3,4.8
1014,1180,4.1,3.3,4.2
774,1235,3.1,3.4,2.5
1265,1073,4.3,3.7,4.0
830,1140,3.1,3.6,3.2
128,1117,5.0,4.6,3.7
196,1131,4.0,3.9,4.0
1161,1083,4.7,4.2,2.6
337,1196,2.8,4.6,4.1
716,1001,2.7,2.7,4.9
716,1004,3.1,4.0,4.3
281,1236,4.0,4.5,4.3
117,1271,2.6,4.1,3.6
617,1201,3.7,4.7,2.6
1401,1274,3.5,4.5,4.4
580,1087,3.6,4.8,3.0
1284,1200,3.0,4.1,3.3
1282,1138,3.2,3.5,2.6
1464,1033,3.6,4.7,3.4
1400,1185,4.2,3.4,4.9
1492,1267,3.2,4.5,3.3
994,1252,4.2,4.1,4.4
1257,1136,2.9,3.9,4.7
1144,1032,4.1,4.4,4.4
397,1247,4.5,2.9,3.7
787,1239,2.7,3.4,3.8
1187,1206,4.5,4.9,3.3
797,1018,3.3,4.8,2.7
291,1248,3.5,4.1,4.1
406,1137,4.4,3.0,4.6
829,1047,3.7,3.3,3.6
1179,1220,3.4,2.9,2.9
1279,1253,2.5,3.0,3.3
1346,1000,3.8,4.1,3.2
1252,1248,3.9,2.9,4.0
1220,1233,2.7,2.7,4.3
815,1086,4.8,4.2,4.6
532,1005,2.9,3.4,3.4
1034,1054,2.8,3.5,4.6
1107,1018,4.3,4.7,4.5
928,1117,4.0,4.9,3.3
1126,1238,3.1,4.6,3.1
1134,1204,2.9,5.0,2.6
947,1254,3.1,4.2,3.0
1160,1246,4.7,3.6,4.5
1145,1211,2.9,3.2,4.9
1043,1127,4.6,3.7,3.6
621,1222,3.9,5.0,3.0
1131,1070,3.0,3.8,3.5
1286,1237,3.9,4.8,3.5
1054,1003,3.2,4.5,3.4
153,1238,4.5,3.6,3.4
581,1257,4.8,3.1,3.9
363,1004,2.7,4.2,3.3
673,1007,4.6,4.3,4.5
1336,1278,3.9,2.7,4.8
1201,1186,5.0,4.3,3.8
743,1251,2.8,4.6,3.1
1109,1242,3.4,4.3,4.9
964,1004,4.6,3.1,3.2
1278,1212,4.6,3.7,3.6
576,1105,4.0,2.7,5.0
435,1215,2.6,3.6,4.1
235,1264,4.7,3.7,4.3
1477,1006,2.7,3.4,4.9
1229,1244,3.2,3.1,4.7
386,1008,2.6,4.0,3.6
1018,1206,4.4,2.8,3.5
124,1194,4.2,3.3,4.2
480,1271,3.3,3.1,4.5
788,1009,3.8,3.5,4.4
1,1141,5.0,4.0,4.7
621,1203,4.9,2.6,4.4
343,1242,4.0,4.4,2.7
1439,1218,2.7,3.5,2.9
242,1002,3.0,4.9,4.4
359,1201,5.0,4.6,2.6
316,1094,4.8,4.3,3.3
555,1004,2.7,3.5,4.3
99,1171,4.2,4.5,3.5
763,1142,3.7,4.6,3.0
875,1230,3.3,2.9,3.6
733,1119,3.1,2.7,3.2
